district,elevation,population_density,flood_risk_base,river_buffer_m,depression_index
Bugesera,1400,285,0.75,180,0.72
Gatsibo,1500,198,0.55,240,0.55
Kayonza,1450,176,0.6,210,0.58
Kirehe,1380,220,0.7,160,0.68
Nyagatare,1350,112,0.5,320,0.45
Rwamagana,1480,310,0.58,200,0.52
Huye,1720,420,0.3,380,0.35
Gisagara,1650,380,0.35,350,0.38
Kamonyi,1580,395,0.4,290,0.42
Muhanga,1700,445,0.32,370,0.36
Nyamagabe,2050,290,0.2,450,0.28
Nyamasheke,1900,330,0.25,420,0.3
Nyanza,1620,360,0.38,310,0.4
Ruhango,1600,350,0.42,300,0.44
Gakenke,1850,298,0.22,430,0.29
Gicumbi,1900,312,0.2,460,0.27
Burera,2100,265,0.18,500,0.25
Musanze,1850,385,0.22,440,0.28
Ngororero,1950,272,0.19,480,0.26
Nyabihu,2000,288,0.18,490,0.24
Rubavu,1520,680,0.45,220,0.5
Rulindo,1800,305,0.24,410,0.3
Karongi,1750,295,0.28,395,0.32
Nyarugenge,1567,8200,0.48,190,0.5
Gasabo,1490,1850,0.5,200,0.52
Kicukiro,1510,2100,0.46,195,0.48
Rusizi,1460,245,0.65,150,0.7
Ngoma,1420,232,0.62,175,0.65
Rutsiro,1780,260,0.26,405,0.31
Kayonza,1450,176,0.6,210,0.58
