date,district,latitude,longitude,rainfall_mm,temperature_c,humidity_pct,sunshine_hours
2015-01-01,Bugesera,-2.1833,30.1667,4.76,19.6,78.68,19.58
2015-01-02,Bugesera,-2.1833,30.1667,0.3,19.69,78.79,24.57
2015-01-03,Bugesera,-2.1833,30.1667,0.23,19.97,71.09,22.57
2015-01-04,Bugesera,-2.1833,30.1667,0.61,20.23,73.06,22.7
2015-01-05,Bugesera,-2.1833,30.1667,4.49,19.36,77.91,20.2
2015-01-06,Bugesera,-2.1833,30.1667,8.01,19.36,79.17,11.4
2015-01-07,Bugesera,-2.1833,30.1667,0.21,19.72,72.86,17.78
2015-01-08,Bugesera,-2.1833,30.1667,0.11,19.86,72.08,21.01
2015-01-09,Bugesera,-2.1833,30.1667,0.12,20.19,72.09,18.48
2015-01-10,Bugesera,-2.1833,30.1667,1.29,19.85,73.33,19.44
2015-01-11,Bugesera,-2.1833,30.1667,2.62,19.3,78.65,13.66
2015-01-12,Bugesera,-2.1833,30.1667,0.75,19.38,75.95,15.94
2015-01-13,Bugesera,-2.1833,30.1667,0.35,19.75,73.65,19.95
2015-01-14,Bugesera,-2.1833,30.1667,0.26,20.1,71.89,21.66
2015-01-15,Bugesera,-2.1833,30.1667,0.1,20.17,70.56,21.46
2015-01-16,Bugesera,-2.1833,30.1667,0.17,20.47,69.78,20.36
2015-01-17,Bugesera,-2.1833,30.1667,0.04,20.88,67.5,23.18
2015-01-18,Bugesera,-2.1833,30.1667,0.41,20.53,68.46,20.39
2015-01-19,Bugesera,-2.1833,30.1667,0.21,20.25,69.74,20.23
2015-01-20,Bugesera,-2.1833,30.1667,0.1,19.5,73.92,13.88
2015-01-21,Bugesera,-2.1833,30.1667,1.39,19.81,74.77,13.06
2015-01-22,Bugesera,-2.1833,30.1667,1.46,19.44,79.02,16.22
2015-01-23,Bugesera,-2.1833,30.1667,1.95,20.28,73.74,21.52
2015-01-24,Bugesera,-2.1833,30.1667,1.87,20.04,76.03,11.28
2015-01-25,Bugesera,-2.1833,30.1667,0.67,19.72,76.13,15.37
2015-01-26,Bugesera,-2.1833,30.1667,2.31,19.57,75.92,22.37
2015-01-27,Bugesera,-2.1833,30.1667,0.46,20.75,67.09,25.43
2015-01-28,Bugesera,-2.1833,30.1667,2.71,21.32,67.98,25.11
2015-01-29,Bugesera,-2.1833,30.1667,5.62,21.55,68.24,18.99
2015-01-30,Bugesera,-2.1833,30.1667,2.81,21.31,69.63,17.8
2015-01-31,Bugesera,-2.1833,30.1667,0.13,20.89,67.09,25.01
2015-02-01,Bugesera,-2.1833,30.1667,0.09,21.21,66.59,24.08
2015-02-02,Bugesera,-2.1833,30.1667,0.11,22.29,62.93,20.69
2015-02-03,Bugesera,-2.1833,30.1667,0.2,21.76,69.05,20.58
2015-02-04,Bugesera,-2.1833,30.1667,0.2,21.64,66.77,12.68
2015-02-05,Bugesera,-2.1833,30.1667,0.25,21.7,68.6,23.15
2015-02-06,Bugesera,-2.1833,30.1667,0.13,21.79,68.46,21.51
2015-02-07,Bugesera,-2.1833,30.1667,0.26,20.54,74.64,24.65
2015-02-08,Bugesera,-2.1833,30.1667,0.81,19.91,78.06,17.82
2015-02-09,Bugesera,-2.1833,30.1667,0.14,21.08,70.55,23.76
2015-02-10,Bugesera,-2.1833,30.1667,0.72,20.53,70.02,20.8
2015-02-11,Bugesera,-2.1833,30.1667,0.99,20.97,67.29,19.74
2015-02-12,Bugesera,-2.1833,30.1667,0.42,21.38,67.43,20.84
2015-02-13,Bugesera,-2.1833,30.1667,1.15,21.54,65.48,18.4
2015-02-14,Bugesera,-2.1833,30.1667,2.4,21.17,70.43,18.29
2015-02-15,Bugesera,-2.1833,30.1667,5.13,19.84,77.12,18.92
2015-02-16,Bugesera,-2.1833,30.1667,3.43,20.15,76.41,19.17
2015-02-17,Bugesera,-2.1833,30.1667,26.59,19.39,81.86,11.03
2015-02-18,Bugesera,-2.1833,30.1667,5.86,19.97,71.52,18.44
2015-02-19,Bugesera,-2.1833,30.1667,1.44,21.02,68.9,25.68
2015-02-20,Bugesera,-2.1833,30.1667,0.97,21.12,69.87,13.3
2015-02-21,Bugesera,-2.1833,30.1667,0.62,20.77,72.68,15.69
2015-02-22,Bugesera,-2.1833,30.1667,0.68,21.39,72.12,22.06
2015-02-23,Bugesera,-2.1833,30.1667,2.44,21.06,73.22,17.69
2015-02-24,Bugesera,-2.1833,30.1667,1.9,20.99,72.78,11.87
2015-02-25,Bugesera,-2.1833,30.1667,2.42,18.81,81.93,17.43
2015-02-26,Bugesera,-2.1833,30.1667,0.49,19.69,73.19,22.3
2015-02-27,Bugesera,-2.1833,30.1667,0.6,20.83,67.43,23.9
2015-02-28,Bugesera,-2.1833,30.1667,7.31,19.73,77.46,7.97
2015-03-01,Bugesera,-2.1833,30.1667,0.85,19.76,75.01,17.39
2015-03-02,Bugesera,-2.1833,30.1667,0.67,20.27,70.97,19.64
2015-03-03,Bugesera,-2.1833,30.1667,5.04,20.19,75.83,18.47
2015-03-04,Bugesera,-2.1833,30.1667,7.3,19.87,75.75,19.1
2015-03-05,Bugesera,-2.1833,30.1667,0.48,19.67,72.2,23.42
2015-03-06,Bugesera,-2.1833,30.1667,1.76,20.17,69.11,24.39
2015-03-07,Bugesera,-2.1833,30.1667,0.63,20.69,67.68,24.44
2015-03-08,Bugesera,-2.1833,30.1667,1.59,20.81,70.0,24.29
2015-03-09,Bugesera,-2.1833,30.1667,0.25,21.4,66.39,26.32
2015-03-10,Bugesera,-2.1833,30.1667,0.22,21.89,57.12,23.47
2015-03-11,Bugesera,-2.1833,30.1667,0.16,22.62,60.12,24.84
2015-03-12,Bugesera,-2.1833,30.1667,0.63,21.57,68.93,21.82
2015-03-13,Bugesera,-2.1833,30.1667,1.09,21.41,71.31,21.91
2015-03-14,Bugesera,-2.1833,30.1667,1.35,20.99,71.9,22.07
2015-03-15,Bugesera,-2.1833,30.1667,0.49,21.79,64.12,24.53
2015-03-16,Bugesera,-2.1833,30.1667,0.0,21.14,57.25,27.94
2015-03-17,Bugesera,-2.1833,30.1667,1.55,22.31,58.18,22.77
2015-03-18,Bugesera,-2.1833,30.1667,2.26,21.74,69.76,19.31
2015-03-19,Bugesera,-2.1833,30.1667,2.78,21.77,70.04,20.14
2015-03-20,Bugesera,-2.1833,30.1667,2.94,22.22,66.77,22.6
2015-03-21,Bugesera,-2.1833,30.1667,6.61,21.62,71.94,20.22
2015-03-22,Bugesera,-2.1833,30.1667,2.95,20.83,78.95,18.13
2015-03-23,Bugesera,-2.1833,30.1667,1.94,20.94,78.27,12.43
2015-03-24,Bugesera,-2.1833,30.1667,35.29,18.27,92.51,7.78
2015-03-25,Bugesera,-2.1833,30.1667,4.71,19.52,85.15,16.99
2015-03-26,Bugesera,-2.1833,30.1667,4.11,19.9,83.67,15.9
2015-03-27,Bugesera,-2.1833,30.1667,4.41,20.1,80.99,14.72
2015-03-28,Bugesera,-2.1833,30.1667,11.65,19.79,83.9,13.18
2015-03-29,Bugesera,-2.1833,30.1667,5.75,19.39,82.9,8.98
2015-03-30,Bugesera,-2.1833,30.1667,4.59,19.87,80.53,14.74
2015-03-31,Bugesera,-2.1833,30.1667,2.71,19.57,83.42,15.86
2015-04-01,Bugesera,-2.1833,30.1667,3.83,19.37,81.63,14.21
2015-04-02,Bugesera,-2.1833,30.1667,0.78,20.12,76.75,22.55
2015-04-03,Bugesera,-2.1833,30.1667,9.51,19.87,82.89,13.18
2015-04-04,Bugesera,-2.1833,30.1667,15.81,18.54,84.59,11.47
2015-04-05,Bugesera,-2.1833,30.1667,3.46,19.43,82.65,14.6
2015-04-06,Bugesera,-2.1833,30.1667,0.94,19.14,83.19,16.94
2015-04-07,Bugesera,-2.1833,30.1667,5.8,18.42,87.2,15.48
2015-04-08,Bugesera,-2.1833,30.1667,0.84,20.71,74.22,23.76
2015-04-09,Bugesera,-2.1833,30.1667,2.42,19.73,80.47,15.74
2015-04-10,Bugesera,-2.1833,30.1667,1.18,20.23,78.28,12.92
2015-04-11,Bugesera,-2.1833,30.1667,0.53,19.52,79.35,20.87
2015-04-12,Bugesera,-2.1833,30.1667,1.38,19.9,77.85,16.09
2015-04-13,Bugesera,-2.1833,30.1667,1.05,20.79,77.12,17.57
2015-04-14,Bugesera,-2.1833,30.1667,1.1,21.4,73.13,21.0
2015-04-15,Bugesera,-2.1833,30.1667,4.41,20.31,79.06,14.67
2015-04-16,Bugesera,-2.1833,30.1667,5.7,19.45,82.7,18.26
2015-04-17,Bugesera,-2.1833,30.1667,3.2,19.55,80.73,17.73
2015-04-18,Bugesera,-2.1833,30.1667,5.24,19.72,81.03,11.66
2015-04-19,Bugesera,-2.1833,30.1667,6.14,19.61,79.98,17.86
2015-04-20,Bugesera,-2.1833,30.1667,4.56,19.53,79.67,21.43
2015-04-21,Bugesera,-2.1833,30.1667,8.55,18.94,79.66,11.26
2015-04-22,Bugesera,-2.1833,30.1667,2.97,19.17,81.19,15.75
2015-04-23,Bugesera,-2.1833,30.1667,4.92,19.38,80.27,16.31
2015-04-24,Bugesera,-2.1833,30.1667,2.01,18.79,80.59,16.5
2015-04-25,Bugesera,-2.1833,30.1667,1.72,19.11,76.45,15.89
2015-04-26,Bugesera,-2.1833,30.1667,2.21,19.21,80.77,14.58
2015-04-27,Bugesera,-2.1833,30.1667,9.16,19.12,81.56,9.28
