date,district,latitude,longitude,rainfall_mm,temperature_c,humidity_pct,sunshine_hours,soil_moisture
2015-01-01,Bugesera,-2.1833,30.1667,4.76,19.6,78.68,19.58,0.3026
2015-01-02,Bugesera,-2.1833,30.1667,0.3,19.69,78.79,24.57,0.26021
2015-01-03,Bugesera,-2.1833,30.1667,0.23,19.97,71.09,22.57,0.2234785
2015-01-04,Bugesera,-2.1833,30.1667,0.61,20.23,73.06,22.7,0.196056725
2015-01-05,Bugesera,-2.1833,30.1667,4.49,19.36,77.91,20.2,0.21154821624999998
2015-01-06,Bugesera,-2.1833,30.1667,8.01,19.36,79.17,11.4,0.2599159838125
2015-01-07,Bugesera,-2.1833,30.1667,0.21,19.72,72.86,17.78,0.22302858624062497
2015-01-08,Bugesera,-2.1833,30.1667,0.11,19.86,72.08,21.01,0.1906742983045312
2015-01-09,Bugesera,-2.1833,30.1667,0.12,20.19,72.09,18.48,0.16327315355885152
2015-01-10,Bugesera,-2.1833,30.1667,1.29,19.85,73.33,19.44,0.15168218052502377
2015-01-11,Bugesera,-2.1833,30.1667,2.62,19.3,78.65,13.66,0.1551298534462702
2015-01-12,Bugesera,-2.1833,30.1667,0.75,19.38,75.95,15.94,0.13936037542932966
2015-01-13,Bugesera,-2.1833,30.1667,0.35,19.75,73.65,19.95,0.12195631911493021
2015-01-14,Bugesera,-2.1833,30.1667,0.26,20.1,71.89,21.66,0.10626287124769068
2015-01-15,Bugesera,-2.1833,30.1667,0.1,20.17,70.56,21.46,0.09132344056053708
2015-01-16,Bugesera,-2.1833,30.1667,0.17,20.47,69.78,20.36,0.0793249244764565
2015-01-17,Bugesera,-2.1833,30.1667,0.04,20.88,67.5,23.18,0.06782618580498802
2015-01-18,Bugesera,-2.1833,30.1667,0.41,20.53,68.46,20.39,0.061752257934239815
2015-01-19,Bugesera,-2.1833,30.1667,0.21,20.25,69.74,20.23,0.05458941924410384
2015-01-20,Bugesera,-2.1833,30.1667,0.1,19.5,73.92,13.88,0.047401006357488264
2015-01-21,Bugesera,-2.1833,30.1667,1.39,19.81,74.77,13.06,0.05419085540386502
2015-01-22,Bugesera,-2.1833,30.1667,1.46,19.44,79.02,16.22,0.06066222709328527
2015-01-23,Bugesera,-2.1833,30.1667,1.95,20.28,73.74,21.52,0.07106289302929247
2015-01-24,Bugesera,-2.1833,30.1667,1.87,20.04,76.03,11.28,0.0791034590748986
2015-01-25,Bugesera,-2.1833,30.1667,0.67,19.72,76.13,15.37,0.0739379402136638
2015-01-26,Bugesera,-2.1833,30.1667,2.31,19.57,75.92,22.37,0.08594724918161423
